Year,LCOE
2010,591.7475759489023
2011,501.23048253778336
2012,439.93887819962714
2013,369.6591994333989
2014,372.9212544384932
2015,315.84526574035465
2016,241.9134297973203
2017,184.06185572638068
2018,162.73122187134868
2019,95.93659186134231
2020,85.3782524083129
2021,79.9272889846712
2022,89.67195861258212
2023,70.8673341666903
2024,55.46668840671941
