year,installed_cap_gwh,bess_capex_kwh,cap_central_gwh,cap_low_gwh,cap_high_gwh,cost_central_kwh,cost_low_kwh,cost_high_kwh
2010.0,0.08624799999999999,2571.375212530797,,,,,,
2011.0,0.08440049999999999,2131.5560375567497,,,,,,
2012.0,0.4550586500000001,2010.2174742980148,,,,,,
2013.0,0.33359759199999994,1654.9654274697496,,,,,,
2014.0,0.5331247776,1741.6323691352845,,,,,,
2015.0,1.600614002,1544.0,,,,,,
2016.0,2.0824867240324,1102.0,,,,,,
2017.0,2.9586932122532046,789.6881345568803,,,,,,
2018.0,7.479646805131655,710.7194070929554,,,,,,
2019.0,6.9462370816461805,333.0806213254458,,,,,,
2020.0,11.823204476146302,299.87928163058496,,,,,,
2021.0,21.731501187554947,281.83617824427876,,,,,,
2022.0,37.55100067473784,357.0255061711696,,,,,,
2023.0,96.0660141964724,271.8039369761331,,,,,,
2024.0,169.00754102908382,191.58663089180507,,,,,,
2025.0,,,220.16724291011678,164.77046306633267,294.18873958694917,165.43857320147796,126.81977449719953,215.81745915772126
2026.0,,,372.9414603298054,271.28724711200954,512.6865870532499,136.76059725591554,102.14984116313784,183.09828726923297
2027.0,,,631.7258234900519,446.39329698269137,894.0042755159429,113.0538096397681,82.23294334674644,155.4263213001072
2028.0,,,1070.0808532021774,734.1835954297501,1559.6548867584522,93.45647891656951,66.17093594403406,131.99319802383218
2029.0,,,1812.6107716537447,1207.0748027556822,2721.91731781199,77.25625062360459,53.22829197903624,112.13074924079639
2030.0,,,3070.38276564105,1983.9853945436648,4751.6732499504815,63.8642534964956,42.80568968956613,95.28272769913617
2031.0,,,5200.923703518945,3260.181402163483,8296.963890375819,52.793694254405594,34.41649544290545,80.98367126459421
2032.0,,,8809.848619697314,5356.271134173185,14490.198639648097,43.64216287567816,27.666556922097335,68.84262417727814
2033.0,,,14923.009281883793,8798.631813627817,25310.32218921417,36.077005168250395,22.237204603077448,58.53030203849643
2034.0,,,25278.096780151165,14451.428407984424,44215.849034940424,29.823230934214788,17.871142077150186,49.768789231031484
2035.0,,,42818.587374491486,23733.31349651524,77251.38864474885,24.653518195524867,14.360837092485662,42.32315675630819
2036.0,,,72530.43774191919,38973.11548659886,134981.8800306926,20.37995013879533,11.53902745379584,35.99457314083728
2037.0,,,122859.36369230105,63993.64587321664,235873.78154359214,16.84718442072951,9.270989320518124,30.614599272368586
2038.0,,,208111.56966389937,105069.9069698666,412205.8035170166,13.92680654138366,7.448259943482312,26.04043654663935
2039.0,,,352520.34624273475,172501.77380838266,720401.8357117829,11.512662032860215,5.983552692495951,22.150951766344924
2040.0,,,597134.4827959103,283195.14815906755,1259094.9840131376,9.516997790485053,4.806644867170919,18.843340718326612
