2025-12-07 20:28:07,339 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:07,352 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:07,472 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:07,485 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:07,537 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:07,636 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:07,738 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:07,843 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:07,936 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:08,025 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:08,115 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:08,208 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:08,302 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:08,397 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:08,511 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:08,603 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:08,692 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:08,789 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:08,888 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:08,997 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:09,089 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:09,184 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:09,278 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:09,373 [WARNING] reader - Multiple matches for ethiopia, capex, gas, None; returning mean=1810.2100
2025-12-07 20:28:31,468 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:31,481 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:31,580 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:31,593 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:31,694 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:31,708 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:31,811 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:31,824 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:31,927 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:31,943 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:32,041 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:32,054 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:32,178 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:32,195 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:32,299 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:32,315 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:32,419 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:32,432 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:32,534 [WARNING] reader - Multiple matches for ethiopia, opex_f, solar, None; returning mean=6.5500
2025-12-07 20:28:32,547 [WARNING] reader - Multiple matches for ethiopia, opex_f, bess, None; returning mean=5.3500
2025-12-07 20:28:32,606 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:32,701 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:32,793 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:32,886 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:32,982 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:33,077 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
2025-12-07 20:28:33,171 [WARNING] reader - Multiple matches for ethiopia, capex, coal, None; returning mean=2095.4800
