Result_ID,Country,Year,Tech,Availability,LCOE,Total_Capex,Renewable_Capacity_MW,BESS_Energy_MWh,BESS_Power_MW
64,United Kingdom,2030,Solar+BESS,0.65,74.71,4259853.81559909,6.18,17.72,2.42
66,United Kingdom,2024,Solar+BESS,0.7,132.2,8609064.437459711,7.08,19.98,2.78
66,United Kingdom,2030,Solar+BESS,0.7,79.03,4850598.916580688,7.08,19.98,2.78
68,United Kingdom,2024,Solar+BESS,0.75,141.98,9916238.01351848,7.98,24.15,3.29
68,United Kingdom,2030,Solar+BESS,0.75,85.49,5636963.115717019,7.98,24.15,3.29
70,United Kingdom,2024,Solar+BESS,0.8,156.83,11681183.707446378,9.56,27.69,3.77
70,United Kingdom,2030,Solar+BESS,0.8,93.93,6599608.472225363,9.56,27.69,3.77
72,United Kingdom,2024,Solar+BESS,0.85,180.41,14299819.115368834,11.69,35.35,4.34
72,United Kingdom,2030,Solar+BESS,0.85,108.62,8136998.110553353,11.69,35.35,4.34
74,United Kingdom,2024,Solar+BESS,0.9,214.69,18026142.795294564,14.57,45.53,5.65
74,United Kingdom,2030,Solar+BESS,0.9,129.54,10286397.75102919,14.57,45.53,5.65
76,United Kingdom,2024,Solar+BESS,0.95,274.34,24348557.18859023,19.91,62.97,6.93
76,United Kingdom,2030,Solar+BESS,0.95,165.87,13941412.13981346,19.91,62.97,6.93
78,United Kingdom,2024,Solar+BESS,1.0,545.8,52190214.64265071,31.69,253.34,8.02
78,United Kingdom,2030,Solar+BESS,1.0,379.46,35391012.43315658,31.69,253.34,8.02
