Result_ID,Sensitivity,Country,Year,Tech,Availability,LCOE,Cost,Solar_Capacity_MW,BESS_Energy_MWh
61,DR=0.08_LT=25,Australia,2024,Solar+BESS,0.1,41.59,388884.93471999996,0.4,0.0
62,Default,Australia,2015,Solar+BESS,0.1,66.78,1097034.5139400002,0.4,0.0
63,DR=0.08_LT=25,Australia,2015,Solar+BESS,0.1,111.71,1097034.5139400002,0.4,0.0
64,Default,Australia,2016,Solar+BESS,0.1,57.93,944611.3933400001,0.4,0.0
65,DR=0.08_LT=25,Australia,2016,Solar+BESS,0.1,96.61,944611.3933400001,0.4,0.0
66,Default,Australia,2017,Solar+BESS,0.1,59.2,966444.97548,0.4,0.0
67,DR=0.08_LT=25,Australia,2017,Solar+BESS,0.1,98.78,966444.97548,0.4,0.0
68,Default,Australia,2018,Solar+BESS,0.1,46.38,745637.4278000001,0.4,0.0
69,DR=0.08_LT=25,Australia,2018,Solar+BESS,0.1,76.91,745637.4278000001,0.4,0.0
70,Default,Australia,2019,Solar+BESS,0.1,38.7,613400.07182,0.4,0.0
71,DR=0.08_LT=25,Australia,2019,Solar+BESS,0.1,63.82,613400.07182,0.4,0.0
72,Default,Australia,2020,Solar+BESS,0.1,32.93,514119.0662400001,0.4,0.0
73,DR=0.08_LT=25,Australia,2020,Solar+BESS,0.1,53.99,514119.0662400001,0.4,0.0
74,Default,Australia,2021,Solar+BESS,0.1,30.88,478690.98956,0.4,0.0
75,DR=0.08_LT=25,Australia,2021,Solar+BESS,0.1,50.48,478690.98956,0.4,0.0
76,Default,Australia,2022,Solar+BESS,0.1,26.52,403715.29240000003,0.4,0.0
77,DR=0.08_LT=25,Australia,2022,Solar+BESS,0.1,43.06,403715.29240000003,0.4,0.0
78,Default,Australia,2023,Solar+BESS,0.1,27.29,416897.83256,0.4,0.0
79,DR=0.08_LT=25,Australia,2023,Solar+BESS,0.1,44.36,416897.83256,0.4,0.0
80,Default,Australia,2015,Coal,0.1,166.39338830270995,1690307.1428571434,,
81,DR=0.08_LT=25,Australia,2015,Coal,0.1,241.3261315620132,1690307.1428571434,,
82,Default,Australia,2016,Coal,0.1,168.5375162096867,1690307.1428571434,,
83,DR=0.08_LT=25,Australia,2016,Coal,0.1,243.4702594689899,1690307.1428571434,,
84,Default,Australia,2017,Coal,0.1,177.39323713991925,1690307.1428571434,,
85,DR=0.08_LT=25,Australia,2017,Coal,0.1,252.32598039922246,1690307.1428571434,,
86,Default,Australia,2018,Coal,0.1,169.3664580701518,1690307.1428571434,,
87,DR=0.08_LT=25,Australia,2018,Coal,0.1,244.29920132945503,1690307.1428571434,,
88,Default,Australia,2019,Coal,0.1,163.47560923294247,1690307.1428571434,,
89,DR=0.08_LT=25,Australia,2019,Coal,0.1,238.40835249224574,1690307.1428571434,,
90,Default,Australia,2020,Coal,0.1,160.16411155852393,1690307.1428571434,,
91,DR=0.08_LT=25,Australia,2020,Coal,0.1,235.0968548178271,1690307.1428571434,,
92,Default,Australia,2021,Coal,0.1,173.59787295387275,1690307.1428571434,,
93,DR=0.08_LT=25,Australia,2021,Coal,0.1,248.530616213176,1690307.1428571434,,
94,Default,Australia,2022,Coal,0.1,205.42426039573317,1690307.1428571434,,
95,DR=0.08_LT=25,Australia,2022,Coal,0.1,280.35700365503646,1690307.1428571434,,
96,Default,Australia,2023,Coal,0.1,180.69169004689599,1690307.1428571434,,
97,DR=0.08_LT=25,Australia,2023,Coal,0.1,255.6244333061992,1690307.1428571434,,
98,Default,Australia,2024,Coal,0.1,175.74484179108202,1690307.1428571434,,
99,DR=0.08_LT=25,Australia,2024,Coal,0.1,250.67758505038523,1690307.1428571434,,
100,Default,Australia,2015,Gas,0.1,175.32518462287297,1355169.9999999998,,
101,DR=0.08_LT=25,Australia,2015,Gas,0.1,200.92105702940756,1355169.9999999998,,
102,Default,Australia,2016,Gas,0.1,163.8265670790133,1355169.9999999998,,
103,DR=0.08_LT=25,Australia,2016,Gas,0.1,189.42243948554787,1355169.9999999998,,
104,Default,Australia,2017,Gas,0.1,170.9118390088379,1355169.9999999998,,
